"","id","title","author_id","description","content","date"
"38","38","Kitchen Food Waste Image Segmentation and Classification for Compost Nutrients Estimation","Raiyan Rahman, Mohsena Chowdhury, Yueyang Tang, Huayi Gao, George Yin, Guanghui Wang","Computer Vision and Pattern Recognition (cs.CV)","The escalating global concern over extensive food wastage necessitates innovative solutions to foster a net-zero lifestyle and reduce emissions. The LILA home composter presents a convenient means of recycling kitchen scraps and daily food waste into nutrient-rich, high-quality compost. To capture the nutritional information of the produced compost, we have created and annotated a large high-resolution image dataset of kitchen food waste with segmentation masks of 19 nutrition-rich categories. Leveraging this dataset, we benchmarked four state-of-the-art semantic segmentation models on food waste segmentation, contributing to the assessment of compost quality of Nitrogen, Phosphorus, or Potassium. The experiments demonstrate promising results of using segmentation models to discern food waste produced in our daily lives. Based on the experiments, SegFormer, utilizing MIT-B5 backbone, yields the best performance with a mean Intersection over Union (mIoU) of 67.09. Class-based results are also provided to facilitate further analysis of different food waste classes.","Fri, 26 Jan 2024 19:41:48 UTC (10,555 KB)"
"39","39","Lane formation and aggregation spots in a model of ants","Maria Bruna, Martin Burger, Oscar de Wit","Analysis of PDEs (math.AP)","We investigate an interacting particle model to simulate a foraging colony of ants, where each ant is represented as an active Brownian particle. The interactions among ants are mediated through chemotaxis, aligning their orientations with the upward gradient of the pheromone field. Unlike conventional models, our study introduces a parameter that enables the reproduction of two distinctive behaviors: the well-known Keller--Segel collapse and the formation of traveling clusters, without relying on external constraints such as food sources or nests. We consider the associated mean-field limit partial differential equation (PDE) of this system and establish the analytical and numerical foundations for understanding these particle behaviors. Remarkably, the mean-field PDE not only supports Keller--Segel collapse and lane formation but also unveils a bistable region where these two behaviors compete. The patterns associated with these phenomena are elucidated by the shape of the growing eigenfunctions derived from linear stability analysis. This study not only contributes to our understanding of complex ant colony dynamics but also introduces a novel parameter-dependent perspective on pattern formation in collective systems.","Fri, 26 Jan 2024 18:18:51 UTC (6,227 KB)"
"40","40","Energy Flexibility Potential in the Brewery Sector: A Multi-agent Based Simulation of 239 Danish Breweries","Daniel Anthony Howard, Zheng Grace Ma, Jacob Alstrup Engvang, Morten Hagenau, Kathrine Lau Jorgensen","Multiagent Systems (cs.MA)","The beverage industry is a typical food processing industry, accounts for significant energy consumption, and has flexible demands. However, the deployment of energy flexibility in the beverage industry is complex and challenging. Furthermore, activation of energy flexibility from the whole brewery industry is necessary to ensure grid stability. Therefore, this paper assesses the energy flexibility potential of Denmark's brewery sector based on a multi-agent-based simulation. 239 individual brewery facilities are simulated, and each facility, as an agent, can interact with the energy system market and make decisions based on its underlying parameters and operational restrictions. The results show that the Danish breweries could save 1.56 % of electricity costs annually while maintaining operational security and reducing approximately 1745 tonnes of CO2 emissions. Furthermore, medium-size breweries could obtain higher relative benefits by providing energy flexibility, especially those producing lager and ale. The result also shows that the breweries' relative saving potential is electricity market-dependent.","Fri, 26 Jan 2024 14:32:35 UTC (543 KB)"
"41","41","Recognizing Multiple Ingredients in Food Images Using a Single-Ingredient Classification Model","Kun Fu, Ying Dai","Computer Vision and Pattern Recognition (cs.CV)","Recognizing food images presents unique challenges due to the variable spatial layout and shape changes of ingredients with different cooking and cutting methods. This study introduces an advanced approach for recognizing ingredients segmented from food images. The method localizes the candidate regions of the ingredients using the locating and sliding window techniques. Then, these regions are assigned into ingredient classes using a CNN (Convolutional Neural Network)-based single-ingredient classification model trained on a dataset of single-ingredient images. To address the challenge of processing speed in multi-ingredient recognition, a novel model pruning method is proposed that enhances the efficiency of the classification model. Subsequently, the multi-ingredient identification is achieved through a decision-making scheme, incorporating two novel algorithms. The single-ingredient image dataset, designed in accordance with the book entitled ""New Food Ingredients List FOODS 2021"", encompasses 9982 images across 110 diverse categories, emphasizing variety in ingredient shapes. In addition, a multi-ingredient image dataset is developed to rigorously evaluate the performance of our approach. Experimental results validate the effectiveness of our method, particularly highlighting its improved capability in recognizing multiple ingredients. This marks a significant advancement in the field of food image analysis.","Fri, 26 Jan 2024 00:46:56 UTC (7,763 KB)[v2] Wed, 14 Feb 2024 11:58:59 UTC (7,117 KB)[v3] Mon, 19 Fe"
"42","42","Evaluation of Consumer Behavior Regarding Food Delivery Applications in India","Sarvesh Jadhav, Ray Titus, Tina Babu, R.Chinnaiyan","Human-Computer Interaction (cs.HC)",". This paper explores consumer behavior towards food delivery apps, focusing on attributes like restaurant variety, food packaging quality, and application design and user interface. The study reveals that a diverse range of restaurants positively influences consumer satisfaction, leading to increased app usage. Conversely, the quality of food packaging does not significantly impact overall satisfaction. However, the study underscores the crucial role of application design and user interface in shaping consumer behavior. Both factors significantly influence overall satisfaction, with user-friendly interfaces attracting more users and promoting frequent app usage. The findings emphasize the importance of businesses addressing these attributes to enhance customer satisfaction, boost app engagement, and foster long-term customer loyalty. Understanding and catering to consumer preferences in these areas can contribute to the success of food delivery apps in the competitive market.","Fri, 8 Dec 2023 09:58:23 UTC (765 KB)"
"43","43","Image based Crop Monitoring Technologies in Protected Horticulture: A Review","Namal Jayasuriya, Yi Guo, Wen Hu, Oula Ghannoum","Computational Engineering, Finance, and Science (cs.CE)","Future food security is a major concern of the 21st century with the growing global population and climate changes. In addressing these challenges, protected cropping ensures food production year-round and increases crop production per land area by controlling environment conditions. Maintaining the growth and health of crops in these facilities is essential to ensure optimum food production. However, this is a laborious work and is currently done manually. Image-based non-destructive plant phenotyping is an emerging research area that reduces the skilled labour cost while enhancing the monitoring of crop growth, health, and identifying phenotype-genotype relations for plant breeding. With the proliferations of protected infrastructures and targeted plants, different technologies and sensor setups are needed for image-based crop monitoring. Conveyor-type plant-to-sensor systems, bench-top or gantry-based systems are commonly found in research facilities focussing on phenotyping of small, relatively short, or movable model plants. This review examines the literature on crop monitoring and phenotyping platforms in both field and protected facilities and explains different camera technologies and their ability to extract different plant traits. The review highlights the future research directions of image-based monitoring of commercial scale protected crops where crops can be relatively tall or vertically supported under semi controlled environments, which presents new challenges and is rarely covered in the literature.","Thu, 25 Jan 2024 03:58:27 UTC (1,240 KB)"
"44","44","Transforming Agriculture with Intelligent Data Management and Insights","Yu Pan, Jianxin Sun, Hongfeng Yu, Geng Bai, Yufeng Ge, Joe Luck, Tala Awada","Databases (cs.DB)","Modern agriculture faces grand challenges to meet increased demands for food, fuel, feed, and fiber with population growth under the constraints of climate change and dwindling natural resources. Data innovation is urgently required to secure and improve the productivity, sustainability, and resilience of our agroecosystems. As various sensors and Internet of Things (IoT) instrumentation become more available, affordable, reliable, and stable, it has become possible to conduct data collection, integration, and analysis at multiple temporal and spatial scales, in real-time, and with high resolutions. At the same time, the sheer amount of data poses a great challenge to data storage and analysis, and the 	extit{de facto} data management and analysis practices adopted by scientists have become increasingly inefficient. Additionally, the data generated from different disciplines, such as genomics, phenomics, environment, agronomy, and socioeconomic, can be highly heterogeneous. That is, datasets across disciplines often do not share the same ontology, modality, or format. All of the above make it necessary to design a new data management infrastructure that implements the principles of Findable, Accessible, Interoperable, and Reusable (FAIR). In this paper, we propose Agriculture Data Management and Analytics (ADMA), which satisfies the FAIR principles. Our new data management infrastructure is intelligent by supporting semantic data management across disciplines, interactive by providing various data management/analysis portals such as web GUI, command line, and API, scalable by utilizing the power of high-performance computing (HPC), extensible by allowing users to load their own data analysis tools, trackable by keeping track of different operations on each file, and open by using a rich set of mature open source technologies.","Tue, 7 Nov 2023 22:02:54 UTC (37,198 KB)"
"45","45","Environmental impacts, nutritional profiles, and retail prices of commonly sold retail food items in 181 countries: an observational study","Elena M. Martinez, Nicole Tichenor Blackstone, Parke E. Wilde, Anna W. Herforth, William A. Masters","General Economics (econ.GN)","Affordability is often seen as a barrier to consuming sustainable diets. This study provides the first worldwide test of how retail food prices relate to empirically estimated environmental impacts and nutritional profile scores between and within food groups. We use prices for 811 retail food items commonly sold in 181 countries during 2011 and 2017, matched to estimated carbon and water footprints and nutritional profiles, to test whether healthier and more environmentally sustainable foods are more expensive between and within food groups. We find that within almost all groups, less expensive items have significantly lower carbon and water footprints. Associations are strongest for animal source foods, where each 10% lower price is associated with 20 grams lower CO2-equivalent carbon and 5 liters lower water footprint per 100kcal. Gradients between price and nutritional profile vary by food group, price range, and nutritional attribute. In contrast, lower-priced items have lower nutritional value in only some groups over some price ranges, and that relationship is sometimes reversed. These findings reveal opportunities to reduce financial and environmental costs of diets, contributing to transitions towards healthier, more environmentally sustainable food systems.","Wed, 24 Jan 2024 00:34:23 UTC (1,247 KB)"
"46","46","Dehydration drives damage in the freezing of brittle hydrogels","Shaohua Yang, Dominic Gerber, Yanxia Feng, Nicolas Bain, Matthias Kuster, Laura de Lorenzis, Ye Xu, ","Soft Condensed Matter (cond-mat.soft)","It is widely known that freezing breaks soft, wet materials. However, the mechanism underlying this damage is still not clear. To understand this process, we freeze model, brittle hydrogel samples, while observing the growth of ice-filled cracks that break these apart. We show that damage is not caused by the expansion of water upon freezing, or the growth of ice-filled cavities in the hydrogel. Instead, local ice growth dehydrates the surrounding hydrogel, leading to drying-induced fracture. This dehydration is driven by the process of cryosuction, whereby undercooled ice sucks nearby water towards itself, feeding its growth. Our results highlight the strong analogy between freezing damage and desiccation cracking, which we anticipate being useful for developing an understanding of both topics. Our results should also give useful insights into a wide range of freezing processes, including cryopreservation, food science and frost heave.","Tue, 23 Jan 2024 16:04:58 UTC (40,060 KB)"
"47","47","Frost Prediction Using Machine Learning Methods in Fars Province","Milad Barooni, Koorush Ziarati, Ali Barooni","Machine Learning (cs.LG)","One of the common hazards and issues in meteorology and agriculture is the problem of frost, chilling or freezing. This event occurs when the minimum ambient temperature falls below a certain value. This phenomenon causes a lot of damage to the country, especially Fars province. Solving this problem requires that, in addition to predicting the minimum temperature, we can provide enough time to implement the necessary measures. Empirical methods have been provided by the Food and Agriculture Organization (FAO), which can predict the minimum temperature, but not in time. In addition to this, we can use machine learning methods to model the minimum temperature. In this study, we have used three methods Gated Recurrent Unit (GRU), Temporal Convolutional Network (TCN) as deep learning methods, and Gradient Boosting (XGBoost). A customized loss function designed for methods based on deep learning, which can be effective in reducing prediction errors. With methods based on deep learning models, not only do we observe a reduction in RMSE error compared to empirical methods but also have more time to predict minimum temperature. Thus, we can model the minimum temperature for the next 24 hours by having the current 24 hours. With the gradient boosting model (XGBoost) we can keep the prediction time as deep learning and RMSE error reduced. Finally, we experimentally concluded that machine learning methods work better than empirical methods and XGBoost model can have better performance in this problem among other implemented.","Sun, 21 Jan 2024 11:02:00 UTC (698 KB)"
"48","48","Agricultural Recommendation System based on Deep Learning: A Multivariate Weather Forecasting Approach","Md Zubair (1), Md. Shahidul Salim (2), Mehrab Mustafy Rahman (3), Mohammad Jahid Ibna Basher (1), Sh","Machine Learning (cs.LG)","Bangladesh is predominantly an agricultural country, where the agrarian sector plays an essential role in accelerating economic growth and enabling the food security of the people. The performance of this sector has an overwhelming impact on the primary macroeconomic objectives like food security, employment generation, poverty alleviation, human resources development, and other economic and social forces. Although Bangladesh's labor-intensive agriculture has achieved steady increases in food grain production, it often suffered from unfavorable weather conditions such as heavy rainfall, low temperature, and drought. Consequently, these factors hinder the production of food substantially, putting the country's overall food security in danger. In order to have a profitable, sustainable, and farmer-friendly agricultural practice, this paper proposes a context-based crop recommendation system powered by a weather forecast model. With extensive evaluation, the multivariate Stacked Bi-LSTM Network is employed as the weather forecasting model. The proposed weather model can forecast Rainfall, Temperature, Humidity, and Sunshine for any given location in Bangladesh with higher accuracy. These predictions guide our system to assist the farmers in making feasible decisions about planting, irrigation, harvesting, and so on. Additionally, our full-fledged system is capable of alerting the farmers about extreme weather conditions so that preventive measures can be undertaken to protect the crops. Finally, the system is also adept at making knowledge-based crop suggestions for the flood and drought-prone regions of Bangladesh.","Sun, 21 Jan 2024 06:33:45 UTC (7,480 KB)"
"49","49","Influence of particle size polydispersity on dynamical heterogeneities in dense particle packings","Rajkumar Biswas, Anoop Mutneja, Smarajit Karmakar, Ranjini Bandyopadhyay","Soft Condensed Matter (cond-mat.soft)","The dynamics of dense particle packings near the jamming transition is characterized by correlated particle motion. The growth of dynamical heterogeneities, or strong spatial variations in the motion of the particles constituting the system, is a hallmark feature of slow glassy dynamics. We report here a systematic confocal microscopy study that characterizes the cooperative dynamics of fluorescently-labelled colloidal particles in dense aqueous suspensions. We demonstrate that jammed particulate suspensions can be fluidized by increasing the width of the particle size distribution. Our molecular dynamics simulations, performed to numerically investigate the effects of continuous-size polydispersity on dense particle packing dynamics, show an excellent match with our experimental results. Besides shedding light on the fundamental aspects of particle-scale dynamics at the jamming-unjamming transition, our findings are significant in the processing of commonly-encountered dense suspensions such as paints, cosmetics, and food.","Fri, 19 Jan 2024 16:05:10 UTC (2,640 KB)"
"50","50","Determining Optimal Lot Size, Reorder Point, and Quality Features for a Food Item in a Cold Warehouse: Data-Driven Optimization Approach","Atena Karimi, Omid Ghorbani, Reza Tashakkori, Seyed Hamid Reza Pasandideh, Milad Jasemi","Optimization and Control (math.OC)","We propose a nonlinear optimization model for determining the optimum lot size and reorder point for a food item distributed through a cold warehouse as well as the optimum quality features, namely temperature, humidity, packaging type, and level of environmental conditions. The item's quality is estimated based on the features mentioned earlier, and then it is used as a constraint in the optimization process. An assumption was made that the inventory is managed under a continuous review policy and the warehouse has limited space. The model seeks to minimize the annual total cost of managing the warehouse. The model will be a nonlinear mixed programming one, which is solved by Pyomo as a leading library in Python language programming. Numerical examples are used to demonstrate the use of the model and, through sensitivity analysis, develop insights into the operation of cold warehouses. This sensitive analysis opens the doors to managerial insight from which managers and policymakers can highly benefit.","Thu, 18 Jan 2024 15:26:51 UTC (564 KB)"
"51","51","Developing an AI-based Integrated System for Bee Health Evaluation","Andrew Liang","Machine Learning (cs.LG)","Honey bees pollinate about one-third of the world's food supply, but bee colonies have alarmingly declined by nearly 40% over the past decade due to several factors, including pesticides and pests. Traditional methods for monitoring beehives, such as human inspection, are subjective, disruptive, and time-consuming. To overcome these limitations, artificial intelligence has been used to assess beehive health. However, previous studies have lacked an end-to-end solution and primarily relied on data from a single source, either bee images or sounds. This study introduces a comprehensive system consisting of bee object detection and health evaluation. Additionally, it utilized a combination of visual and audio signals to analyze bee behaviors. An Attention-based Multimodal Neural Network (AMNN) was developed to adaptively focus on key features from each type of signal for accurate bee health assessment. The AMNN achieved an overall accuracy of 92.61%, surpassing eight existing single-signal Convolutional Neural Networks and Recurrent Neural Networks. It outperformed the best image-based model by 32.51% and the top sound-based model by 13.98% while maintaining efficient processing times. Furthermore, it improved prediction robustness, attaining an F1-score higher than 90% across all four evaluated health conditions. The study also shows that audio signals are more reliable than images for assessing bee health. By seamlessly integrating AMNN with image and sound data in a comprehensive bee health monitoring system, this approach provides a more efficient and non-invasive solution for the early detection of bee diseases and the preservation of bee colonies.","Thu, 18 Jan 2024 14:06:29 UTC (3,865 KB)"
"52","52","A Framework for Agricultural Food Supply Chain using Blockchain","Sudarssan N","Cryptography and Security (cs.CR)","The main aim of the paper is to create a trust and transparency in the food supply chain system, ensuring food safety for everyone with the help of Blockchain Technology. Food supply chain is the process of tracing a crop from the farmer or producer to the buyer. With the advent of blockchain, providing a safe and fraud-free environment for the provision of numerous agricultural necessities has become much easier. Because of the globalization of trade, the present supply chain market today includes various companies involving integration of data, complex transactions and distribution. Information tamper resistance, supply-demand relationships, and traceable oversight are all difficulties that arise as a result of this. Blockchain is a distributed ledger technology that can provide information that is resistant to tampering. This strategy can eliminate the need for a centralized trusted authority, intermediaries, and business histories, allowing for increased production and security while maintaining the highest levels of integrity, liability, and safety. In order to have an integrity and transparency in food supply chain in the agricultural sector, a framework is proposed here based on block chain and IoT.","Sun, 14 Jan 2024 04:16:01 UTC (292 KB)"
"53","53","Unsupervised Pre-Training for 3D Leaf Instance Segmentation","Gianmarco Roggiolani, Federico Magistri, Tiziano Guadagnino, Jens Behley, Cyrill Stachniss","Computer Vision and Pattern Recognition (cs.CV)","Crops for food, feed, fiber, and fuel are key natural resources for our society. Monitoring plants and measuring their traits is an important task in agriculture often referred to as plant phenotyping. Traditionally, this task is done manually, which is time- and labor-intensive. Robots can automate phenotyping providing reproducible and high-frequency measurements. Today's perception systems use deep learning to interpret these measurements, but require a substantial amount of annotated data to work well. Obtaining such labels is challenging as it often requires background knowledge on the side of the labelers. This paper addresses the problem of reducing the labeling effort required to perform leaf instance segmentation on 3D point clouds, which is a first step toward phenotyping in 3D. Separating all leaves allows us to count them and compute relevant traits as their areas, lengths, and widths. We propose a novel self-supervised task-specific pre-training approach to initialize the backbone of a network for leaf instance segmentation. We also introduce a novel automatic postprocessing that considers the difficulty of correctly segmenting the points close to the stem, where all the leaves petiole overlap. The experiments presented in this paper suggest that our approach boosts the performance over all the investigated scenarios. We also evaluate the embeddings to assess the quality of the fully unsupervised approach and see a higher performance of our domain-specific postprocessing.","Tue, 16 Jan 2024 08:11:08 UTC (1,419 KB)"
"54","54","NutritionVerse-Real: An Open Access Manually Collected 2D Food Scene Dataset for Dietary Intake Estimation","Chi-en Amy Tai, Saeejith Nair, Olivia Markham, Matthew Keller, Yifan Wu, Yuhao Chen, Alexander Wong","Computer Vision and Pattern Recognition (cs.CV)","Dietary intake estimation plays a crucial role in understanding the nutritional habits of individuals and populations, aiding in the prevention and management of diet-related health issues. Accurate estimation requires comprehensive datasets of food scenes, including images, segmentation masks, and accompanying dietary intake metadata. In this paper, we introduce NutritionVerse-Real, an open access manually collected 2D food scene dataset for dietary intake estimation with 889 images of 251 distinct dishes and 45 unique food types. The NutritionVerse-Real dataset was created by manually collecting images of food scenes in real life, measuring the weight of every ingredient and computing the associated dietary content of each dish using the ingredient weights and nutritional information from the food packaging or the Canada Nutrient File. Segmentation masks were then generated through human labelling of the images. We provide further analysis on the data diversity to highlight potential biases when using this data to develop models for dietary intake estimation. NutritionVerse-Real is publicly available at this https URL as part of an open initiative to accelerate machine learning for dietary sensing.","Mon, 20 Nov 2023 11:05:20 UTC (6,354 KB)"
"55","55","Spatial Entity Resolution between Restaurant Locations and Transportation Destinations in Southeast Asia","Emily Gao, Dominic Widdows","Computation and Language (cs.CL)","As a tech company, Grab has expanded from transportation to food delivery, aiming to serve Southeast Asia with hyperlocalized applications. Information about places as transportation destinations can help to improve our knowledge about places as restaurants, so long as the spatial entity resolution problem between these datasets can be solved. In this project, we attempted to recognize identical place entities from databases of Points-of-Interest (POI) and GrabFood restaurants, using their spatial and textual attributes, i.e., latitude, longitude, place name, and street address. Distance metrics were calculated for these attributes and fed to tree-based classifiers. POI-restaurant matching was conducted separately for Singapore, Philippines, Indonesia, and Malaysia. Experimental estimates demonstrate that a matching POI can be found for over 35% of restaurants in these countries. As part of these estimates, test datasets were manually created, and RandomForest, AdaBoost, Gradient Boosting, and XGBoost perform well, with most accuracy, precision, and recall scores close to or higher than 90% for matched vs. unmatched classification. To the authors' knowledge, there are no previous published scientific papers devoted to matching of spatial entities for the Southeast Asia region.","Tue, 16 Jan 2024 17:59:54 UTC (1,054 KB)"
"56","56","Vitamin K content of Australian-grown horticultural commodities","Eleanor Dunlop, Judy Cunningham, Paul Adorno, Georgios Dabos, Stuart K Johnson, Lucinda J Black","Other Quantitative Biology (q-bio.OT)","Vitamin K is emerging as a multi-function vitamin that plays a role in bone, brain and vascular health. Vitamin K composition data remain limited globally and Australia has lacked nationally representative data for vitamin K1 (phylloquinone, PK) in horticultural commodities. Primary samples (n = 927) of 90 different Australian-grown fruit, vegetable and nut commodities were purchased in three Australian cities. We measured PK in duplicate in 95 composite samples using liquid chromatography with electrospray ionisation-tandem mass spectrometry. The greatest mean concentrations of PK were found in kale (565 ug/100 g), baby spinach (255 ug/100 g) and Brussels sprouts (195 ug/100 g). The data contribute to the global collection of vitamin K food composition data. They add to the evidence that PK concentrations vary markedly between geographic regions, supporting development of region-specific datasets for national food composition databases that do not yet contain data for vitamin K.","Mon, 15 Jan 2024 05:01:16 UTC (225 KB)"
"57","57","Classification of Volatile Organic Compounds by Differential Mobility Spectrometry Based on Continuity of Alpha Curves","Anton Rauhameri, Angelo Robiños, Osmo Anttalainen, Timo Salpavaara, Jussi Rantala, Veikko Surakka, P","Machine Learning (cs.LG)","Background: Classification of volatile organic compounds (VOCs) is of interest in many fields. Examples include but are not limited to medicine, detection of explosives, and food quality control. Measurements collected with electronic noses can be used for classification and analysis of VOCs. One type of electronic noses that has seen considerable development in recent years is Differential Mobility Spectrometry (DMS). DMS yields measurements that are visualized as dispersion plots that contain traces, also known as alpha curves. Current methods used for analyzing DMS dispersion plots do not usually utilize the information stored in the continuity of these traces, which suggests that alternative approaches should be investigated. Results: In this work, for the first time, dispersion plots were interpreted as a series of measurements evolving sequentially. Thus, it was hypothesized that time-series classification algorithms can be effective for classification and analysis of dispersion plots. An extensive dataset of 900 dispersion plots for five chemicals measured at five flow rates and two concentrations was collected. The data was used to analyze the classification performance of six algorithms. According to our hypothesis, the highest classification accuracy of 88% was achieved by a Long-Short Term Memory neural network, which supports our hypothesis. Significance: A new concept for approaching classification tasks of dispersion plots is presented and compared with other well-known classification algorithms. This creates a new angle of view for analysis and classification of the dispersion plots. In addition, a new dataset of dispersion plots is openly shared to public.","Sat, 13 Jan 2024 12:56:04 UTC (5,635 KB)"
"58","58","Weak Labeling for Cropland Mapping in Africa","Gilles Quentin Hacheme, Akram Zaytar, Girmaw Abebe Tadesse, Caleb Robinson, Rahul Dodhia, Juan M. La","Computer Vision and Pattern Recognition (cs.CV)","Cropland mapping can play a vital role in addressing environmental, agricultural, and food security challenges. However, in the context of Africa, practical applications are often hindered by the limited availability of high-resolution cropland maps. Such maps typically require extensive human labeling, thereby creating a scalability bottleneck. To address this, we propose an approach that utilizes unsupervised object clustering to refine existing weak labels, such as those obtained from global cropland maps. The refined labels, in conjunction with sparse human annotations, serve as training data for a semantic segmentation network designed to identify cropland areas. We conduct experiments to demonstrate the benefits of the improved weak labels generated by our method. In a scenario where we train our model with only 33 human-annotated labels, the F_1 score for the cropland category increases from 0.53 to 0.84 when we add the mined negative labels.","Sat, 13 Jan 2024 08:45:41 UTC (33,894 KB)"
"59","59","PizzaCommonSense: Learning to Model Commonsense Reasoning about Intermediate Steps in Cooking Recipes","Aissatou Diallo, Antonis Bikakis, Luke Dickens, Anthony Hunter, Rob Miller","Computation and Language (cs.CL)","Decoding the core of procedural texts, exemplified by cooking recipes, is crucial for intelligent reasoning and instruction automation. Procedural texts can be comprehensively defined as a sequential chain of steps to accomplish a task employing resources. From a cooking perspective, these instructions can be interpreted as a series of modifications to a food preparation, which initially comprises a set of ingredients. These changes involve transformations of comestible resources. For a model to effectively reason about cooking recipes, it must accurately discern and understand the inputs and outputs of intermediate steps within the recipe. Aiming to address this, we present a new corpus of cooking recipes enriched with descriptions of intermediate steps of the recipes that explicate the input and output for each step. We discuss the data collection process, investigate and provide baseline models based on T5 and GPT-3.5. This work presents a challenging task and insight into commonsense reasoning and procedural text generation.","Fri, 12 Jan 2024 23:33:01 UTC (1,660 KB)"
"60","60","On the stability of fractional order Leslie-Gower type model with non-monotone functional response of intermediate predator","Shuvojit Mondal, Nandadulal Bairagi","Dynamical Systems (math.DS)","In this paper, an attempt is made to understand the dynamics of a fractional order three species Leslie-Gower predator prey food chain model with simplified Holling type IV functional response by considering fractional derivative in Caputo Sense. First, we prove different mathematical results like existence, uniqueness, non-negativity and boundedness of the solutions of fractional order dynamical system. The dissipativeness of the solution of the FDE system is discussed. Further, we investigate the Local stability criteria of all feasible equilibrium points. Global stability of the interior equilibrium point have also been discussed here. Using realistic parameter values, numerically it has been observed that the fractional order system shows more complex dynamics, like chaos as fractional order becomes larger. Analytical results are illustrated with several examples in numerical section.","Fri, 12 Jan 2024 18:10:05 UTC (1,934 KB)[v2] Sat, 27 Jan 2024 14:31:04 UTC (1,934 KB)"
"61","61","AGSPNet: A framework for parcel-scale crop fine-grained semantic change detection from UAV high-resolution imagery with agricultural geographic scene constraints","Shaochun Li, Yanjun Wang, Hengfan Cai, Lina Deng, Yunhao Lin","Computer Vision and Pattern Recognition (cs.CV)","Real-time and accurate information on fine-grained changes in crop cultivation is of great significance for crop growth monitoring, yield prediction and agricultural structure adjustment. Aiming at the problems of serious spectral confusion in visible high-resolution unmanned aerial vehicle (UAV) images of different phases, interference of large complex background and salt-and-pepper noise by existing semantic change detection (SCD) algorithms, in order to effectively extract deep image features of crops and meet the demand of agricultural practical engineering applications, this paper designs and proposes an agricultural geographic scene and parcel-scale constrained SCD framework for crops (AGSPNet). AGSPNet framework contains three parts: agricultural geographic scene (AGS) division module, parcel edge extraction module and crop SCD module. Meanwhile, we produce and introduce an UAV image SCD dataset (CSCD) dedicated to agricultural monitoring, encompassing multiple semantic variation types of crops in complex geographical scene. We conduct comparative experiments and accuracy evaluations in two test areas of this dataset, and the results show that the crop SCD results of AGSPNet consistently outperform other deep learning SCD models in terms of quantity and quality, with the evaluation metrics F1-score, kappa, OA, and mIoU obtaining improvements of 0.038, 0.021, 0.011 and 0.062, respectively, on average over the sub-optimal method. The method proposed in this paper can clearly detect the fine-grained change information of crop types in complex scenes, which can provide scientific and technical support for smart agriculture monitoring and management, food policy formulation and food security assurance.","Thu, 11 Jan 2024 20:47:28 UTC (2,953 KB)"
"62","62","REBUS: A Robust Evaluation Benchmark of Understanding Symbols","Andrew Gritsevskiy, Arjun Panickssery, Aaron Kirtland, Derik Kauffman, Hans Gundlach, Irina Gritsevs","Computation and Language (cs.CL)","We propose a new benchmark evaluating the performance of multimodal large language models on rebus puzzles. The dataset covers 333 original examples of image-based wordplay, cluing 13 categories such as movies, composers, major cities, and food. To achieve good performance on the benchmark of identifying the clued word or phrase, models must combine image recognition and string manipulation with hypothesis testing, multi-step reasoning, and an understanding of human cognition, making for a complex, multimodal evaluation of capabilities. We find that proprietary models such as GPT-4V and Gemini Pro significantly outperform all other tested models. However, even the best model has a final accuracy of just 24%, highlighting the need for substantial improvements in reasoning. Further, models rarely understand all parts of a puzzle, and are almost always incapable of retroactively explaining the correct answer. Our benchmark can therefore be used to identify major shortcomings in the knowledge and reasoning of multimodal large language models.","Thu, 11 Jan 2024 00:30:28 UTC (4,457 KB)"
"63","63","Monte Carlo Tree Search for Recipe Generation using GPT-2","Karan Taneja, Richard Segal, Richard Goodwin","Computation and Language (cs.CL)","Automatic food recipe generation methods provide a creative tool for chefs to explore and to create new, and interesting culinary delights. Given the recent success of large language models (LLMs), they have the potential to create new recipes that can meet individual preferences, dietary constraints, and adapt to what is in your refrigerator. Existing research on using LLMs to generate recipes has shown that LLMs can be finetuned to generate realistic-sounding recipes. However, on close examination, these generated recipes often fail to meet basic requirements like including chicken as an ingredient in chicken dishes. In this paper, we propose RecipeMC, a text generation method using GPT-2 that relies on Monte Carlo Tree Search (MCTS). RecipeMC allows us to define reward functions to put soft constraints on text generation and thus improve the credibility of the generated recipes. Our results show that human evaluators prefer recipes generated with RecipeMC more often than recipes generated with other baseline methods when compared with real recipes.","Wed, 10 Jan 2024 14:50:46 UTC (132 KB)"
